episode,score,avg_score
562,-92.69207755902994,-57.81746232342811
563,26.919584827385393,-57.21693764124525
564,-37.0070019796964,-56.874527082381185
565,-84.80453692862321,-57.110140964280745
566,18.91702221743398,-56.0118955330514
567,-59.92469957495405,-56.41587522628399
568,-149.8032836451789,-57.50622477501487
569,-10.270302502923485,-56.89317791609742
570,-166.0523337402699,-57.93373127240259
571,-101.13862698294844,-57.308915104918505
572,-54.309488663138175,-57.08857322999621
573,-92.08142066936016,-57.776007248453745
574,-57.06111909296677,-58.29818306496352
575,-8.250714523791856,-57.271396599245534
576,-24.018737742191334,-56.78399782727806
577,-52.85565106394999,-55.773323301531136
578,-51.40725737771892,-56.205571250907084
579,-63.909931695556985,-57.05794991885204
580,-7.006255908023121,-56.120558045136434
581,-70.36956708642337,-56.09738880577362
582,-10.914711147237412,-55.67269300955067
583,-80.87951164692922,-56.08717445516781
584,-51.587152943034155,-56.01969470238044
585,-182.35651639634108,-57.35249512209478
586,-90.30463201982826,-58.30651090572695
587,-94.6282081611314,-59.07205401148713
588,-69.69307539106377,-59.076872861621084
589,-46.31650577786991,-59.64114285199825
590,-101.560456280009,-60.66289377867852
591,-10.613769184688081,-60.55101911368267
592,-159.4899642214742,-61.67899789445808
593,-57.697034796112916,-61.4941036388086
594,-134.18035780658315,-62.314959708867306
595,-173.65157797985952,-63.35752779696919
596,-104.69256192188132,-64.00625118176262
597,-112.61949782495043,-64.70207796151129
598,-75.39844215750452,-63.45745779302135
599,-15.47723756291488,-63.28327036247534
600,-69.97547449033031,-63.26085428895871
601,-194.37427722633765,-64.63904908299983
602,-67.71239322882474,-63.78000907637736
603,-78.96300371905319,-63.71799672524418
604,-84.5107465590269,-63.42505867428226
605,-68.91999041335934,-63.587019717969625
606,-2.8580133264154455,-62.71384841609101
607,-94.1770082598008,-63.27547825180278
608,-153.8927999236496,-63.75510645138142
609,15.661125738954183,-63.19423859780991
610,-36.90742388469975,-62.98265421347078
611,-40.616874614893995,-62.60897572851226
612,-11.308120838271478,-62.45606917209497
613,-70.8037922686892,-62.753473159372945
614,-76.74990034775487,-63.44704318319168
615,-179.20633242015674,-64.72892370964504
616,-57.27513703762184,-65.09013865951871
617,-41.032918533596444,-64.93209577829856
618,-32.2973105366364,-64.94303095769524
619,-55.626327506752375,-64.91455116909549
620,-56.07414566492293,-65.03311532671646
621,-7.839725559112864,-64.12170111490852
622,-59.767024937332195,-64.01363369634235
623,-28.69946100526012,-64.49015773457731
624,-83.77833813326855,-64.51710117681064
625,-76.29879030127135,-64.51211867960791
626,-32.24351675874074,-64.85116426421274
627,-32.82267970909808,-64.81787655265127
628,-67.16721498219525,-65.27624746624488
629,-12.25069569937024,-64.81383435371778
630,-126.47875401600642,-65.85344160729151
631,-69.95606934367918,-66.23021445188364
632,-78.96452028018274,-66.00076677576833
633,-25.87411826206737,-65.49673383958964
634,-40.4606494726099,-65.9288443161101
635,-33.23717979530669,-65.08264988060992
636,-19.019047585782445,-64.31346971126605
637,4.898575207117418,-64.24661994829503
638,-93.27327232998411,-64.781622090658
639,-6.4263147545159995,-65.00371343481552
640,-31.035181877136964,-64.2501831186042
641,-55.54092822816382,-65.08656343004446
642,11.5699447447234,-64.2935297809714
643,-46.614025349362976,-63.44677153413143
644,-114.5155945683327,-63.62243924263047
645,-7.425090217835304,-62.36040213060028
646,-13.355154938809733,-61.76687443461729
647,-116.36939580104793,-62.55724524883886
648,-108.30994085913836,-63.520870650671206
649,-8.955976776420954,-62.776001572660746
650,-84.92751026275552,-63.527514077052345
651,-141.31717216740077,-63.09965208137848
652,-91.83392871270752,-63.20897943392626
653,-22.198382312261955,-62.845990972523396
654,-80.84225322401056,-62.926950222903294
655,-90.68099218191635,-63.57392171003037
656,-89.59759774403342,-63.845733368460905
657,-62.99300610438588,-64.43531512559403
658,-65.84721394871684,-64.60092744838374
659,-80.55371660656147,-65.27762160145866
660,-22.882195136187207,-65.30171947808773
661,-208.1987824103898,-65.88891370374698
662,-39.85028485441533,-65.36049577670083
663,-118.71662557241002,-66.81685788069878
664,-128.035177062715,-67.72713963152896
665,-45.350474904532106,-67.33259901128805
666,-73.91760221307123,-68.26094525559311
667,-37.368558610611004,-68.0353838459497
668,-35.78287070468717,-66.89517971654477
669,-22.70140664236662,-67.0194907579392
670,-24.40790917605206,-65.60304651229703
671,-14.455986116675746,-64.73622010363428
672,-109.4787304292799,-65.28791252129571
673,-59.87835122272696,-64.96588182682937
674,-75.49361684900147,-65.15020680438971
675,1.7280179252417867,-65.05041947989939
676,-4.061576304804618,-64.85084786552552
677,-17.407497220437136,-64.49636632709039
678,22.4283963526737,-63.758009789786456
679,39.31141105715449,-62.72579636225935
680,-32.53672782270523,-62.981101081406166
681,-153.17986149663898,-63.809204025508336
682,-36.86821358492385,-64.0687390498852
683,-58.20215282723076,-63.84196546168821
684,-49.355569126920415,-63.81964962352708
685,-67.80039701330114,-62.674088429696674
686,-76.71189264287692,-62.53816103592717
687,-59.927634940996455,-62.19115530372582
688,-16.536836631169564,-61.65959291612687
689,-28.568734075981652,-61.48211519910799
690,-49.9647012629094,-60.966157648936985
691,-16.526993491850106,-61.0252898920086
692,-47.00373279289374,-59.9004275777228
693,-7.8841221798854235,-59.40229845156054
694,7.999162555737485,-57.98050324793732
695,-329.3235462871827,-59.537222931010554
696,42.390860531697825,-58.066388706474775
697,11.437040406991855,-56.82582332415535
698,-69.73409610662006,-56.76917986364649
699,-50.82366819995747,-57.122644170016926
700,23.754229969776972,-56.185347125415845
701,-23.64978580481916,-54.478102211200664
702,-88.97635703426128,-54.690741849255026
703,-66.82215038999473,-54.56933331596445
704,-62.133894730747905,-54.345564797681654
705,-11.978788048402123,-53.77615277403208
706,-124.69985519225969,-54.99457119269053
707,-42.918915524456565,-54.48199026533708
708,-61.47438002723305,-53.55780606637291
709,-80.01735326897553,-54.514590856452216
710,-33.097399530641326,-54.47649061291163
711,-39.18565586174019,-54.46217842538008
712,-41.52007457158264,-54.76429796271321
713,-7.256996418738126,-54.128830004213675
714,-139.07207779120546,-54.7520517786482
715,7.578173879347602,-52.88420671565316
716,-8.694715849439945,-52.39840250377134
717,21.299194681994322,-51.775081371615435
718,-212.94814510259056,-53.58158971727496
719,-21.94760137073314,-53.244802455914765
720,-136.140918722916,-54.04547018649471
721,-202.6583210419904,-55.993656141323484
722,9.260526819849943,-55.303380623751664
723,-5.018755178397171,-55.06657356548303
724,-4.897919954121647,-54.27776938369156
725,10.728047432834122,-53.4075010063505
726,-20.407310276474703,-53.289138941527845
727,-33.81275275502347,-53.2990396719871
728,-16.077225308312023,-52.788139775248275
729,-28.393933579392368,-52.94957215404849
730,-225.49204388974883,-53.93970505278591
731,-38.94777232385253,-53.629622082587645
732,19.301037620525648,-52.64696650358056
733,-271.24532978457387,-55.10067861880563
734,28.707689946442855,-54.4089952246151
735,-18.885066805284826,-54.26547409471488
736,-21.24084477838403,-54.2876920666409
737,-30.605267242950774,-54.64273049114158
738,-166.08563297976917,-55.37085409763942
